county,year,race,gender,age_group,estimate
Alameda,2010,White,Female,0..17,37802
Alameda,2010,White,Female,18..44,88999
Alameda,2010,White,Female,45..64,85427
Alameda,2010,White,Female,65..100,47236
Alameda,2010,White,Male,0..17,39952
Alameda,2010,White,Male,18..44,92581
Alameda,2010,White,Male,45..64,85733
Alameda,2010,White,Male,65..100,36350
Alameda,2010,Black,Female,0..17,20472
Alameda,2010,Black,Female,18..44,37445
Alameda,2010,Black,Female,45..64,28566
Alameda,2010,Black,Female,65..100,12851
Alameda,2010,Black,Male,0..17,21008
Alameda,2010,Black,Male,18..44,33168
Alameda,2010,Black,Male,45..64,24564
Alameda,2010,Black,Male,65..100,8660
Alameda,2010,American Indian,Female,0..17,401
Alameda,2010,American Indian,Female,18..44,863
Alameda,2010,American Indian,Female,45..64,684
Alameda,2010,American Indian,Female,65..100,238
Alameda,2010,American Indian,Male,0..17,423
Alameda,2010,American Indian,Male,18..44,776
Alameda,2010,American Indian,Male,45..64,540
Alameda,2010,American Indian,Male,65..100,170
Alameda,2010,Asian,Female,0..17,40741
Alameda,2010,Asian,Female,18..44,87526
Alameda,2010,Asian,Female,45..64,53998
Alameda,2010,Asian,Female,65..100,24121
Alameda,2010,Asian,Male,0..17,43260
Alameda,2010,Asian,Male,18..44,80192
Alameda,2010,Asian,Male,45..64,47918
Alameda,2010,Asian,Male,65..100,18138
Alameda,2010,Pacific Islander,Female,0..17,1543
Alameda,2010,Pacific Islander,Female,18..44,2819
Alameda,2010,Pacific Islander,Female,45..64,1538
Alameda,2010,Pacific Islander,Female,65..100,424
Alameda,2010,Pacific Islander,Male,0..17,1565
Alameda,2010,Pacific Islander,Male,18..44,2701
Alameda,2010,Pacific Islander,Male,45..64,1389
Alameda,2010,Pacific Islander,Male,65..100,352
Alameda,2010,Hispanic,Female,0..17,53531
Alameda,2010,Hispanic,Female,18..44,75474
Alameda,2010,Hispanic,Female,45..64,29140
Alameda,2010,Hispanic,Female,65..100,10297
Alameda,2010,Hispanic,Male,0..17,55947
Alameda,2010,Hispanic,Male,18..44,82744
Alameda,2010,Hispanic,Male,45..64,28638
Alameda,2010,Hispanic,Male,65..100,7366
Alameda,2010,Multi-Race,Female,0..17,11806
Alameda,2010,Multi-Race,Female,18..44,11600
Alameda,2010,Multi-Race,Female,45..64,4461
Alameda,2010,Multi-Race,Female,65..100,1434
Alameda,2010,Multi-Race,Male,0..17,12465
Alameda,2010,Multi-Race,Male,18..44,10017
Alameda,2010,Multi-Race,Male,45..64,4100
Alameda,2010,Multi-Race,Male,65..100,1052
Alameda,2020,White,Female,0..17,36551
Alameda,2020,White,Female,18..44,73304
Alameda,2020,White,Female,45..64,72199
Alameda,2020,White,Female,65..100,59798
Alameda,2020,White,Male,0..17,40147
Alameda,2020,White,Male,18..44,75563
Alameda,2020,White,Male,45..64,73728
Alameda,2020,White,Male,65..100,49754
Alameda,2020,Black,Female,0..17,18860
Alameda,2020,Black,Female,18..44,35322
Alameda,2020,Black,Female,45..64,27616
Alameda,2020,Black,Female,65..100,17497
Alameda,2020,Black,Male,0..17,19589
Alameda,2020,Black,Male,18..44,33005
Alameda,2020,Black,Male,45..64,23188
Alameda,2020,Black,Male,65..100,12495
Alameda,2020,American Indian,Female,0..17,392
Alameda,2020,American Indian,Female,18..44,734
Alameda,2020,American Indian,Female,45..64,679
Alameda,2020,American Indian,Female,65..100,414
Alameda,2020,American Indian,Male,0..17,411
Alameda,2020,American Indian,Male,18..44,721
Alameda,2020,American Indian,Male,45..64,552
Alameda,2020,American Indian,Male,65..100,297
Alameda,2020,Asian,Female,0..17,43521
Alameda,2020,Asian,Female,18..44,80888
Alameda,2020,Asian,Female,45..64,67862
Alameda,2020,Asian,Female,65..100,39775
Alameda,2020,Asian,Male,0..17,48369
Alameda,2020,Asian,Male,18..44,76619
Alameda,2020,Asian,Male,45..64,60264
Alameda,2020,Asian,Male,65..100,30287
Alameda,2020,Pacific Islander,Female,0..17,1704
Alameda,2020,Pacific Islander,Female,18..44,2791
