YEAR,County,Total (All race groups),White,Black,American Indian,Asian,Native Hawaiian and other Pacific Islander,Hispanic or Latino,Multi-Race
2010,Alameda,1513236,514086,186737,4098,395898,12337,343141,56939
2010,Alpine,1163,869,0,204,2,0,71,17
2010,Amador,37853,30091,950,539,447,53,4859,913
2010,Butte,219990,164870,3139,3376,9458,397,31670,7080
2010,Calaveras,45462,37999,353,518,526,59,4779,1227
2010,Colusa,21478,8601,153,284,247,50,11892,251
2010,Contra Costa,1052211,508220,93096,3033,149853,4532,256047,37431
2010,Del Norte,28544,18522,1060,1928,933,21,5126,953
2010,El Dorado,180921,143909,1289,1543,6739,248,22443,4750
2010,Fresno,932377,307295,45680,6080,86637,1067,469935,15682
2010,Glenn,28143,15688,181,463,663,17,10664,467
2010,Humboldt,134663,103996,1404,6940,3127,320,13560,5316
2010,Imperial,175389,24406,5359,1639,1954,75,140945,1010
2010,Inyo,18528,12309,102,1895,184,12,3629,396
2010,Kern,841146,325711,45798,5933,33266,996,414414,15028
2010,Kings,152656,54303,10686,1305,5343,216,77595,3208
2010,Lake,64599,47973,1186,1531,647,81,11165,2016
2010,Lassen,35136,23452,2999,992,427,153,6243,870
2010,Los Angeles,9824906,2746305,821829,19527,1336086,23152,4694972,183035
2010,Madera,151328,57494,5204,1818,2661,98,81807,2246
2010,Marin,252731,184377,7069,520,14004,423,39459,6879
2010,Mariposa,18193,15224,118,456,158,21,1677,539
2010,Mendocino,87924,60398,544,3433,1469,79,19691,2310
2010,Merced,255937,83475,8742,1134,17363,466,140472,4286
2010,Modoc,9648,7677,69,280,53,17,1344,208
2010,Mono,14240,9731,36,217,206,9,3815,226
2010,Monterey,416259,136348,11334,1372,24430,1882,231700,9193
2010,Napa,136811,77088,2457,533,9377,299,44235,2823
2010,Nevada,98639,85120,331,787,1295,83,8703,2320
2010,Orange,3017327,1336843,45894,6247,540485,8507,1010752,68599
2010,Placer,350275,263747,4448,2063,22443,685,46677,10214
2010,Plumas,19911,16989,173,453,98,14,1602,581
2010,Riverside,2191886,874405,133791,10951,127558,5891,993930,45361
2010,Sacramento,1420434,691338,140694,7973,200201,13795,307513,58920
2010,San Benito,55350,20573,380,215,1542,54,31721,865
2010,San Bernardino,2038523,684856,172602,8660,122187,5970,1003256,40991
2010,San Diego,3102745,1501675,148728,14121,333728,13606,999392,91494
2010,San Francisco,806254,338874,46758,1808,268020,3145,122869,24780
2010,San Joaquin,686588,248202,49199,3220,94812,3315,267086,20752
2010,San Luis Obispo,269713,191725,5392,1367,8622,334,56309,5965
2010,San Mateo,719729,303475,19474,1134,178665,10225,184420,22337
2010,Santa Barbara,424050,201823,7507,1817,20281,675,183511,8436
2010,Santa Clara,1786429,627438,43926,4085,573622,6413,481108,49838
2010,Santa Cruz,263260,156796,2357,972,11260,288,84804,6783
2010,Shasta,177472,145533,1429,4150,4893,216,15410,5841
2010,Sierra,3230,2883,4,34,3,2,258,48
2010,Siskiyou,44893,35691,537,1547,548,58,4663,1848
2010,Solano,413117,170275,58396,1853,59126,3304,99759,20405
2010,Sonoma,484084,321695,7009,3560,17581,1404,120414,12422
2010,Stanislaus,515205,243208,12534,2894,24168,3170,216228,13003
2010,Sutter,94669,48033,1734,925,13582,251,27326,2818
2010,Tehama,63487,45708,347,1213,548,53,14010,1610
2010,Trinity,13713,11307,38,536,183,12,1080,557
2010,Tulare,443066,145549,5505,3319,13543,370,269012,5767
2010,Tuolumne,55144,45279,1161,831,546,51,5950,1327
2010,Ventura,825077,402144,13216,2363,55015,1351,333230,17758
2010,Yolo,201311,100679,5025,1094,26065,842,61057,6549
2010,Yuba,72329,42666,2134,1260,4659,256,18192,3162
2020,Alameda,1608204,481049,187576,4203,447590,14049,402771,70967
2020,Alpine,1172,833,0,222,0,0,99,18
2020,Amador,39352,29277,980,572,822,96,6526,1079
