County,Total (All race groups),White,Black,American Indian,Asian,Native Hawaiian and other Pacific Islander,Hispanic or Latino,Multi-Race
Alameda,"1,513,236","514,086","186,737","4,098","395,898","12,337","343,141","56,939"
Alpine,"1,163",869,0,204,2,0,71,17
Amador,"37,853","30,091",950,539,447,53,"4,859",913
Butte,"219,990","164,870","3,139","3,376","9,458",397,"31,670","7,080"
Calaveras,"45,462","37,999",353,518,526,59,"4,779","1,227"
Colusa,"21,478","8,601",153,284,247,50,"11,892",251
Contra Costa,"1,052,211","508,220","93,096","3,033","149,853","4,532","256,047","37,431"
Del Norte,"28,544","18,522","1,060","1,928",933,21,"5,126",953
El Dorado,"180,921","143,909","1,289","1,543","6,739",248,"22,443","4,750"
Fresno,"932,377","307,295","45,680","6,080","86,637","1,067","469,935","15,682"
Glenn,"28,143","15,688",181,463,663,17,"10,664",467
Humboldt,"134,663","103,996","1,404","6,940","3,127",320,"13,560","5,316"
Imperial,"175,389","24,406","5,359","1,639","1,954",75,"140,945","1,010"
Inyo,"18,528","12,309",102,"1,895",184,12,"3,629",396
Kern,"841,146","325,711","45,798","5,933","33,266",996,"414,414","15,028"
Kings,"152,656","54,303","10,686","1,305","5,343",216,"77,595","3,208"
Lake,"64,599","47,973","1,186","1,531",647,81,"11,165","2,016"
Lassen,"35,136","23,452","2,999",992,427,153,"6,243",870
Los Angeles,"9,824,906","2,746,305","821,829","19,527","1,336,086","23,152","4,694,972","183,035"
Madera,"151,328","57,494","5,204","1,818","2,661",98,"81,807","2,246"
Marin,"252,731","184,377","7,069",520,"14,004",423,"39,459","6,879"
Mariposa,"18,193","15,224",118,456,158,21,"1,677",539
Mendocino,"87,924","60,398",544,"3,433","1,469",79,"19,691","2,310"
Merced,"255,937","83,475","8,742","1,134","17,363",466,"140,472","4,286"
Modoc,"9,648","7,677",69,280,53,17,"1,344",208
Mono,"14,240","9,731",36,217,206,9,"3,815",226
Monterey,"416,259","136,348","11,334","1,372","24,430","1,882","231,700","9,193"
Napa,"136,811","77,088","2,457",533,"9,377",299,"44,235","2,823"
Nevada,"98,639","85,120",331,787,"1,295",83,"8,703","2,320"
Orange,"3,017,327","1,336,843","45,894","6,247","540,485","8,507","1,010,752","68,599"
Placer,"350,275","263,747","4,448","2,063","22,443",685,"46,677","10,214"
Plumas,"19,911","16,989",173,453,98,14,"1,602",581
Riverside,"2,191,886","874,405","133,791","10,951","127,558","5,891","993,930","45,361"
Sacramento,"1,420,434","691,338","140,694","7,973","200,201","13,795","307,513","58,920"
San Benito,"55,350","20,573",380,215,"1,542",54,"31,721",865
San Bernardino,"2,038,523","684,856","172,602","8,660","122,187","5,970","1,003,256","40,991"
San Diego,"3,102,745","1,501,675","148,728","14,121","333,728","13,606","999,392","91,494"
San Francisco,"806,254","338,874","46,758","1,808","268,020","3,145","122,869","24,780"
San Joaquin,"686,588","248,202","49,199","3,220","94,812","3,315","267,086","20,752"
San Luis Obispo,"269,713","191,725","5,392","1,367","8,622",334,"56,309","5,965"
San Mateo,"719,729","303,475","19,474","1,134","178,665","10,225","184,420","22,337"
Santa Barbara,"424,050","201,823","7,507","1,817","20,281",675,"183,511","8,436"
Santa Clara,"1,786,429","627,438","43,926","4,085","573,622","6,413","481,108","49,838"
Santa Cruz,"263,260","156,796","2,357",972,"11,260",288,"84,804","6,783"
Shasta,"177,472","145,533","1,429","4,150","4,893",216,"15,410","5,841"
Sierra,"3,230","2,883",4,34,3,2,258,48
Siskiyou,"44,893","35,691",537,"1,547",548,58,"4,663","1,848"
Solano,"413,117","170,275","58,396","1,853","59,126","3,304","99,759","20,405"
Sonoma,"484,084","321,695","7,009","3,560","17,581","1,404","120,414","12,422"
Stanislaus,"515,205","243,208","12,534","2,894","24,168","3,170","216,228","13,003"
Sutter,"94,669","48,033","1,734",925,"13,582",251,"27,326","2,818"
Tehama,"63,487","45,708",347,"1,213",548,53,"14,010","1,610"
Trinity,"13,713","11,307",38,536,183,12,"1,080",557
Tulare,"443,066","145,549","5,505","3,319","13,543",370,"269,012","5,767"
Tuolumne,"55,144","45,279","1,161",831,546,51,"5,950","1,327"
Ventura,"825,077","402,144","13,216","2,363","55,015","1,351","333,230","17,758"
Yolo,"201,311","100,679","5,025","1,094","26,065",842,"61,057","6,549"
Yuba,"72,329","42,666","2,134","1,260","4,659",256,"18,192","3,162"
