county,square_miles
San Francisco,46.69
Lake,1257.96
Mono,3044.4
Santa Cruz,445.24
Santa Clara,1290.69
Trinity,3178.61
San Mateo,449.07
Glenn,1314.79
San Luis Obispo,3304.32
Marin,519.8
San Benito,1389.06
Monterey,3321.95
Amador,592.97
Kings,1390.99
Mendocino,3508.97
Sutter,602.54
San Joaquin,1399.28
Humboldt,3572.49
Yuba,630.69
Placer,1404.37
Shasta,3785.19
Contra Costa,719.95
Mariposa,1451.12
Modoc,3944.1
Alameda,737.57
Stanislaus,1493.79
Los Angeles,4060.87
Alpine,738.62
Sonoma,1575.88
Imperial,4174.73
Napa,753.73
Butte,1639.49
San Diego,4199.89
Orange,789.4
El Dorado,1710.85
Lassen,4557.27
Solano,829.19
Ventura,1845.3
Tulare,4823.97
Sierra,953.38
Merced,1928.69
Fresno,5962.73
Nevada,957.61
Madera,2135.86
Siskiyou,6286.78
Sacramento,965.65
Tuolumne,2235.41
Riverside,7207.37
Del Norte,1007.81
Plumas,2553.69
Kern,8140.96
Yolo,1013.27
Santa Barbara,2737.01
Inyo,10203.1
Calaveras,1020.04
Tehama,2950.99
San Bernardino,20052.5
Colusa,1150.68
