county,median_income
Alameda,71516
Alpine,59931
Amador,53462
Butte,43339
Calaveras,54686
Colusa,52165
Contra Costa,78187
Del Norte,39626
El Dorado,70117
Fresno,45741
Glenn,42641
Humboldt,40830
Imperial,41255
Inyo,45000
Kern,47727
Kings,48761
Lake,38147
Lassen,51921
Los Angeles,56241
Madera,47937
Marin,90962
Mariposa,52584
Mendocino,43721
Merced,43565
Modoc,37482
Mono,61868
Monterey,60143
Napa,69571
Nevada,57382
Orange,75566
Placer,73356
Plumas,45358
Riverside,57096
Sacramento,55846
San Benito,63939
San Bernardino,54750
San Diego,63373
San Francisco,73802
San Joaquin,53895
San Luis Obispo,59628
San Mateo,87751
Santa Barbara,62723
Santa Clara,90747
Santa Cruz,66571
Shasta,44396
Sierra,42500
Siskiyou,37948
Solano,69006
Sonoma,63565
Stanislaus,49866
Sutter,50510
Tehama,40307
Trinity,36569
Tulare,43803
Tuolumne,48169
Ventura,76483
Yolo,57260
Yuba,46641
