county,population
Alameda,1515136
Alpine,1197
Amador,37764
Butte,220101
Calaveras,45507
Colusa,21329
Contra Costa,1052047
Del Norte,28496
El Dorado,180441
Fresno,930517
Glenn,28078
Humboldt,134317
Imperial,173487
Inyo,18474
Kern,839153
Kings,151982
Lake,64360
Lassen,34628
Los Angeles,9840024
Madera,150615
Marin,252759
Mariposa,18193
Mendocino,87577
Merced,256398
Modoc,9545
Mono,14181
Monterey,416199
Napa,136644
Nevada,98521
Orange,3021840
Placer,350074
Plumas,19926
Riverside,2192982
Sacramento,1422348
San Benito,55467
San Bernardino,2041029
San Diego,3100500
San Francisco,807755
San Joaquin,687036
San Luis Obispo,270121
San Mateo,721183
Santa Barbara,423594
Santa Clara,1788393
Santa Cruz,262340
Shasta,177693
Sierra,3163
Siskiyou,44673
Solano,414209
Sonoma,483456
Stanislaus,515115
Sutter,94615
Tehama,63200
Trinity,13693
Tulare,441877
Tuolumne,55205
Ventura,822794
Yolo,200873
Yuba,72244
